,bezirk
Steglitz,472
Wilmersdorf,464
Schöneberg,298
Charlottenburg,106
Lichtenberg,82
Kreuzberg,60
Mitte,59
Steglitz-Zehlendorf,45
Neukölln,41
Reinickendorf,39
Tempelhof,36
Steglitz-Zehl,33
Charlottenburg-Wilmersdorf,29
Pankow,29
"Steglitz-Zehlendorf, Lichterfelde-West",27
"Steglitz-Zehlendorf, Lichterfelde",22
Lichterfelde,19
Wedding,17
Lankwitz,16
Zehlendorf,15
Prenzlauer Berg,14
"Steglitz-Zehlendorf, Steglitz",14
"Steglitz-Zehlendorf, Dahlem",13
Friedrichshain-Kreuzberg,13
Treptow-Köpenick,12
Spandau,10
"Steglitz-Zehlendorf, Lankwitz",10
"Steglitz-Zehlendorf, Lichterfelde-Ost",8
"Charlottenburg-Wilmersdorf, Schmargendorf",8
Tempelhof-Schöneberg,7
"Neukölln, Buckow",7
"Lichtenberg, Friedrichsfelde",7
 Steglitz-Zeh,7
"Neukölln, Britz",7
,7
Friedrichshain,6
"Neukölln, Gropiusstadt",6
Steglitz-Zehlendorf (Lichterfelde),6
Marienfelde,6
"Charlottenburg-Wilmersdorf, Wilmersdorf",5
Moabit,5
Mariendorf,5
Köpenick,5
"Steglitz-Zehlendorf, Zehlendorf",5
Steglitz Zehlendorf,5
Friedenau,4
"Lichtenberg, Hohenschönhausen",4
"Kreuzberg, Friedrichshain",4
"Mitte, Wedding",4
Neukölln-Buckow,4
"Charlottenburg-Wilmersdorf, Grunewald",4
Marzahn,3
Hohenschönhausen,3
Dahlem,3
"Tempelhof-Schöneberg, Tempelhof",3
"Steglitz-Zehlendorf, Lichterfelde West",3
Niederschönhausen,3
Wilmersdorf-Charlottenburg,3
Treptow,3
Wannsee,3
"Steglitz-Zehlendorf, Grunewald",2
"Steglitz, Lichterfelde Süd",2
"Lichtenberg, Karlshorst",2
"Tempelhof-Schöneberg, Friedenau",2
Friedrichsfelde (Lichtenberg),2
Tiergarten,2
"Tempelhof-Schöneberg, Mariendorf",2
Steglitz-Zehlendorf (Lankwitz),2
"Treptow-Köpenick, Friedrichshagen",2
Steglitz-Zehlendorf (Dahlem),2
Charlottenburg-Wilmerdorf,2
Steglitz (Lankwitz),2
Lichterfelde Ost,1
Tempelhof (Mariendorf),1
"Mitte, Moabit",1
"Tempelhof-Schöneberg, Lichtenrade",1
"Steglitz-Zehlendorf, Lichterfelde ",1
Potsdam,1
"Friedrichsfelde, Karlshorst",1
Niederschöneweide,1
Steglitz-Zehlendorf (Wannsee),1
Nikolassee,1
"Tempelhof-Schöneberg, Marienfelde",1
"Gropiusstadt, Rudow",1
"Treptow-Köpenick, Treptow",1
"Kreuzberg, südl. Luisenstadt",1
Weißensee/Heinersdorf,1
Marzahn-Hellersdorf,1
"Spandau, Gatow/Kladow",1
Siemensstadt (Charlottenburg Nord),1
"Spandau, Wilhelmstadt",1
Lichterfelde West,1
"Steglitz, Lankwitz",1
Karlshorst,1
"Treptow-Köpenick, Rahnsdorf",1
Buckow,1
Tegel,1
Alt-Treptow,1
Biesdorf,1
Stegliz,1
"Treptow, Altglienicke",1
Charlottenburg-Nord,1
Karlshorst (Lichtenberg),1
"Charlottenburg-Wilmersdorf, Westend",1
"Marzahn-Hellersdorf, Kaulsdorf",1
Kreuzberg-Friedrichshain,1
Steglitz Lichterfelde,1
"Neukölln, Mariendorf",1
"Tempelhof-Schöneberg, Schöneberg",1
Steglitz-Zehlendorf. Lichterfelde-West,1
Lichtenrade,1
Berlin (Lankwitz),1
Schöneberg-Tempelhof,1
Steglitz - Zehlendorf Ortsteil: Lankwitz,1
"Marzahn-Hellersdorf, Mahlsdorf",1
Tempelhof-Sch,1
Friedrichshai,1
"Mitte, Gesundbrunnen",1
Wilmerdorf,1
Lichtfelde,1
Steglitz (Lichterfelde),1
Babelsberg,1
Steglitz Langwitz,1
Grunewald,1
"Treptow-Köpenick, Müggelheim",1
Test,1
"Steglitz-Zehnlendorf, Lichterfelde",1
Teltow-Fläming (Berliner Stadtgüter),1
"Lichtenberg, Malchow",1
"Lichtenberg, Neu-Hohenschönhausen",1
"Lichtenberg, Alt-Hohenschönhausen",1
Charlottenburg-Wilmersdorf / Grunewald,1
Charlottenburg-Wilmersdorf / Schmargendorf,1
Steglitz-Zehlendorf / Lichterfelde,1
Schmargendorf/Wilmersdorf,1
"Neukölln, Rudow",1
Mariendorf (Tempelhof),1
Steglitz / Lichterfelde,1
Charlottenburg / Grunewald,1
"Steglitz-Zehlendorf, Wannsee",1
"Lichterfelde, Steglitz-Zehlendorf",1
Steglitz-Zehlendorf ,1
