bezirk,plz
,"['10781', '12159', '12207', '14513', '14797', '15569']"
 Steglitz-Zeh,['12207']
Alt-Treptow,['12435']
Babelsberg,['14482']
Berlin (Lankwitz),['12247']
Biesdorf,['12683']
Buckow,['12353']
Charlottenburg,"['10585', '10587', '10589', '10623', '10625', '10627', '10629', '10709', '10711', '10785', '10787', '10789', '14050', '14052', '14057', '14059']"
Charlottenburg / Grunewald,['14193']
Charlottenburg-Nord,['13627']
Charlottenburg-Wilmerdorf,"['10715', '14193']"
Charlottenburg-Wilmersdorf,"['10589', '10629', '10709', '10713', '10715', '10878', '14057', '14193', '14197', '14199']"
Charlottenburg-Wilmersdorf / Grunewald,['14193']
Charlottenburg-Wilmersdorf / Schmargendorf,['14199']
"Charlottenburg-Wilmersdorf, Grunewald",['14193']
"Charlottenburg-Wilmersdorf, Schmargendorf","['14193', '14199']"
"Charlottenburg-Wilmersdorf, Westend",['14057']
"Charlottenburg-Wilmersdorf, Wilmersdorf","['10711', '10715', '14197']"
Dahlem,['14195']
Friedenau,"['12157', '12159', '12161', '12163']"
Friedrichsfelde (Lichtenberg),['10319']
"Friedrichsfelde, Karlshorst",['10318']
Friedrichshai,['10249']
Friedrichshain,"['10243', '10245', '10249']"
Friedrichshain-Kreuzberg,"['10243', '10245', '10247', '10317']"
"Gropiusstadt, Rudow",['12353']
Grunewald,['14193']
Hohenschönhausen,"['13053', '13055', '13057']"
Karlshorst,['10318']
Karlshorst (Lichtenberg),['10318']
Kreuzberg,"['10245', '10247', '10961', '10963', '10965', '10967', '10969', '10997']"
"Kreuzberg, Friedrichshain","['10245', '10247']"
"Kreuzberg, südl. Luisenstadt",['10999']
Kreuzberg-Friedrichshain,['10997']
Köpenick,"['12555', '12557', '12559']"
Lankwitz,"['12247', '12249']"
Lichtenberg,"['10315', '10317', '10318', '10319', '10365', '10367', '10369', '13051', '13052', '13053', '13055', '13057', '13059']"
"Lichtenberg, Alt-Hohenschönhausen",['13055']
